"id","mahallead","adano","parselno","tapucinsaciklama","tapumahalleref","tapualan","kadastroalan","geom"
680029481,DÝKMEN,"7442","7",BAÐ,55927,597.0,599.781920300989,"POLYGON ((32.841118248253 39.870136165775, 32.841301935061 39.870057522293, 32.841449096036 39.870257484191, 32.841453809272 39.870291714704, 32.841453747369 39.870318553425, 32.841421276446 39.870359487754, 32.841311766884 39.870405990462, 32.841118248253 39.870136165775))"
711478392,DÝKMEN,"7443","3","4 Katlý+Çatý Aralý Betonarme Apartman ve Arsasý ",55927,746.0,742.736800751367,"POLYGON ((32.838738104646 39.871123059386, 32.83894863537 39.871413895795, 32.83874504535 39.871504037041, 32.83853451585 39.871212930089, 32.838738104646 39.871123059386))"
680029487,DÝKMEN,"7448","17",Apartman - Beton,55927,584.0,585.255103419566,"POLYGON ((32.842351212069 39.869587744681, 32.842734555926 39.869446326349, 32.842750983578 39.86946931482, 32.84281818925 39.869571988121, 32.842654641799 39.869636341293, 32.842431328107 39.869717905101, 32.842351212069 39.869587744681))"
680029490,DÝKMEN,"7448","2",KARGÝR APARTMAN,55927,515.0,515.593108777856,"POLYGON ((32.842811849903 39.869890803424, 32.842654641799 39.869636341293, 32.84281818925 39.869571988121, 32.842843919263 39.869616063975, 32.842992406136 39.869851150411, 32.842811849903 39.869890803424))"
680029491,DÝKMEN,"7448","5",HARAP BAÐ,55927,663.0,661.087265218072,"POLYGON ((32.842843919263 39.869616063975, 32.84281818925 39.869571988121, 32.842750983578 39.86946931482, 32.843139583739 39.86932871289, 32.843230767672 39.869475099103, 32.843001724104 39.869558367409, 32.842843919263 39.869616063975))"
680029493,DÝKMEN,"7448","9",HARAP BAÐ,55927,655.0,651.122625291139,"POLYGON ((32.842656852933 39.868976721044, 32.842479617454 39.868690259, 32.842598854554 39.868681685025, 32.842681854655 39.868674953013, 32.842706395429 39.868676697581, 32.842730923635 39.868683935923, 32.842757182584 39.868700993612, 32.842875952165 39.868896952376, 32.842656852933 39.868976721044))"
680029500,DÝKMEN,"7450","10",-Apartman--Beton-,55927,560.0,558.110825300418,"POLYGON ((32.843210031324 39.869188850011, 32.843130965114 39.869059231898, 32.843500614722 39.868924277027, 32.843515051651 39.868948973924, 32.843580263828 39.869054796299, 32.843210031324 39.869188850011))"
680029503,DÝKMEN,"7450","3","4 Katlý Betonarme Mesken ve Arsasý",55927,555.0,555.537217800987,"POLYGON ((32.84383095386 39.869474559317, 32.843819210287 39.869447524499, 32.843753763202 39.869341882045, 32.844123636466 39.869211518743, 32.844200248185 39.869342033494, 32.84383095386 39.869474559317))"
680029506,DÝKMEN,"7452","2",-Apartman--Beton-,55927,886.0,883.393776765846,"POLYGON ((32.844625331587 39.870485237139, 32.845141893264 39.87051222779, 32.845127230569 39.870691073698, 32.844611015968 39.870665074217, 32.844625331587 39.870485237139))"
680029509,DÝKMEN,"7452","3",-Apartman--Beton-,55927,711.0,709.051096499351,"POLYGON ((32.844625331587 39.870485237139, 32.844636760526 39.870341421474, 32.845153555097 39.870368322303, 32.845141893264 39.87051222779, 32.844625331587 39.870485237139))"
680029511,DÝKMEN,"7452","4",HARAP BAÐ,55927,712.0,709.238821972733,"POLYGON ((32.844648189416 39.870197605874, 32.845165333561 39.870224507051, 32.845153555097 39.870368322303, 32.844636760526 39.870341421474, 32.844648189416 39.870197605874))"
680029514,DÝKMEN,"7453","1",BAÐ,55927,700.0,695.223698894011,"POLYGON ((32.842747703952 39.870695420041, 32.842546046636 39.870761253439, 32.842395958611 39.870458437056, 32.842611998723 39.870389561207, 32.842747703952 39.870695420041))"
680029517,DÝKMEN,"7455","8",BETONARME BÝNA,55927,720.0,713.391995190951,"POLYGON ((32.843441332574 39.872508088593, 32.84376396945 39.872620618833, 32.843598042068 39.872823827667, 32.843327182443 39.872699040532, 32.843441332574 39.872508088593))"
680029710,DÝKMEN,"7456","10",Bað,55927,650.0,654.219580297814,"POLYGON ((32.843721828491 39.877471281986, 32.843766789602 39.877745068333, 32.843490684817 39.877757810804, 32.843488628042 39.877493924643, 32.843721828491 39.877471281986))"
680029519,DÝKMEN,"7456","26",ARSA,55927,5235.0,5235.17083820303,"POLYGON ((32.844523698718 39.877789845092, 32.844548499913 39.877884804523, 32.844592637891 39.878061656937, 32.844640286839 39.878236802841, 32.844684189858 39.878414375396, 32.844731251952 39.878590781345, 32.844778548081 39.878767187583, 32.844824685224 39.878939269233, 32.844880084679 39.879151170993, 32.84483039284 39.879155697689, 32.844374225365 39.879117980329, 32.84424947252 39.878973081924, 32.844259586068 39.878533138901, 32.844240430718 39.878422876334, 32.844493922682 39.878396377952, 32.844432522057 39.878047572508, 32.844179732933 39.878073981639, 32.844171659932 39.878025517013, 32.844168539025 39.878009931958, 32.844165174336 39.87799875965, 32.844156470992 39.877970558301, 32.84414691023 39.877959647851, 32.844133610853 39.877947831746, 32.844118666171 39.877939886127, 32.844102780617 39.877934460998, 32.844085370119 39.877931375448, 32.844061289435 39.877931433121, 32.844058586582 39.877886127907, 32.844054196214 39.877811730145, 32.844523698718 39.877789845092))"
